4 Könige;4 Könige;2015;98:00 (mm:ss);Theresa von Eltz;Christopher Bantzer (Vater Lara), Paula Beer (Alex), Andrea Gerhard (Schwester), Jella Haase (Lara), Jannis Niewöhner (Timo), Moritz Leu (Fedja), Clemens Schick (Dr. Wolff), Anneke Kim Sarnau (Schwester Simone), Nadine Hahl (Sporttherapeutin Sandra), Kai Hoppe (Pfleger Samson)
Angry Birds - Der Film (3D);The Angry Birds Movie;2015;97:00 (mm:ss);Clay Kaytis, Fergal Reilly;Sprecher/innen D: Christoph Maria Herbst (Red), Axel Stein (Chuck), Axel Prahl (Bombe), Anja Kling (Mathilde), Smudo (Mächtiger Adler), Ralf Schmitz (Schwein Leonard), Michael Kessler (Richter Hackpranke)
Beautiful Girl;Beautiful Girl;2014;85:00 (mm:ss);Dominik Hartl;Jana McKinnon (Charly), Marlon Boess (Sulzer), Giacomo Pilotti (Carlo), Lilian Klebow (Sylvia), Dany Sigel (Oma), Moritz Uhl (Felix), Christian Tramitz (Rudi), Hary Prinz (Max), Nathalie Ann Köbli (Hanna), Marie Friesz (Yvonne)
Bibi & Tina - Mädchen gegen Jungs;Bibi & Tina - Mädchen gegen Jungs;2015;110:00 (mm:ss);Detlev Buck;Lina Larissa Strahl (Bibi Blocksberg), Lisa-Marie Koroll (Tina), Louis Held (Alexander von Falkenstein), Michael Maertens (Graf Falko von Falkenstein), Winnie Böwe (Frau Martin), Martin Seifert (Butler Dagobert), Max von der Groeben (Freddy), Charly Hübner (Hans Kakmann), Fabian Buch (Holger Martin), Phil Laude (Urs Nägeli), Kostja Ullmann (Leo Schmackes), Katharina Thalbach (Gast)
Birnenkuchen mit Lavendel;le gout des merveilles;2015;100:00 (mm:ss);Eric Besnard;Virginie Efira (Lousie), Benjamin Lavernhe (Peirre), Lucie Fagedet (Emma), Leo Lorleac (Felix), Herve Pierre (Jules), Hiam Abbass (Malanie), Laurent Bateau (Paul), Valentin Merlet (Banker), Francois Bureloup (Barbesitzer)
Cinderella (incl. Vorfilm „Die Eiskönigin – Partyfieber“);Cinderella;2014;113:00 (mm:ss);Kenneth Branagh;Lily James (Cinderella), Richard Madden (Prinz), Cate Blanchett (Schwiegermutter), Helena Bonham Carter (Gute Fee), Holliday Grainger (Anastasia), Sophie McShera (Drisella), Stellan Skarsgård (Erzherzog)
Das Brandneue Testament;Le tout nouveau testament;2015;115:00 (mm:ss);Jaco van Dormael;Benoit Poelvoorde (Gott), Pili Groyne (Ea), Marco Lorenzini (Victor), Francois Damiens (Francois), Serge Lariviere (Marc), Laura Verlinden (Aurelie), Catherine Deneuve (Martine), Didier de Neck (Jean-Claude), Romain Gelin (Willy), Yolande Moreau (Gottes Frau)
Der Blunzenkönig;Der Blunzenkönig;2015;98:00 (mm:ss);Leo Maria Bauer;Karl Merkatz („Blunzenkönig“ Franz König senior), Andreas Lust (Franzl), Inge Maux (Rösli), Jaschka Lämmert (Charlotte), Justus Neumann (Großer Karl), Raimund Wallisch (Herr Rohrbacher, Lagerleiter), Angelika Niedetzky (Postlerin), Roman Frankl (Landarzt), Alexander Jagsch (Bank-Filialleiter), Julia Jelinek (Joki), Joseph Lorenz (Lebensmittel-Inspektor), Toni Slama (Engel)
Der letzte Wolf (3D);Wolf Totem;2015;118:00 (mm:ss);Jean-Jacques Annaud;Shaofeng Feng (Chen Zhen), Shawn Dou (Yang Ke), Ankhnyam Ragchaa (Gasma), Yin Zhusheng (Bao Shunghi), Basen Zhabu (Bilig), Baoyingexige (Batu)
Der Marsianer - Rettet Mark Watney (3D);The Martian;2015;142:00 (mm:ss);Ridley Scott;Matt Damon (Mark Watney), Jessica Chastain (Melissa Lewis)
